,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ponta do sol,78,PT,1632798348,83,38.7333,-28.2667,64.42,14.03
1,namibe,30,AO,1632798348,89,-15.1961,12.1522,62.13,3.87
2,biak,95,ID,1632798349,68,-0.9131,122.8766,83.07,4.07
3,ushuaia,93,AR,1632798349,94,-54.8,-68.3,36.9,3.15
4,rikitea,37,PF,1632798350,75,-23.1203,-134.9692,73.15,21.14
5,punta arenas,98,PH,1632798350,64,8.9897,125.34,87.31,5.95
6,charters towers,67,US,1632798350,74,38.5736,-83.4333,71.94,9.98
7,albany,100,US,1632798351,83,42.6001,-73.9662,68.58,5.01
8,sabancuy,41,MX,1632798351,81,18.9667,-91.1833,81.48,9.48
9,tiksi,99,RU,1632798351,94,71.6872,128.8694,32.9,3.58
10,vaini,75,TO,1632798352,83,-21.2,-175.2,77.16,5.75
11,nikolskoye,0,RU,1632798352,96,59.7035,30.7861,46.29,3.38
12,bluff,94,NZ,1632798352,66,-46.6,168.3333,55.8,14.27
13,bredasdorp,1,ZA,1632798352,90,-34.5322,20.0403,49.03,5.99
14,atuona,14,PF,1632798353,72,-9.8,-139.0333,78.06,19.22
15,cape town,18,CL,1632798353,69,-36.413,-71.9028,45.82,5.66
16,yumen,0,CN,1632798353,13,40.2833,97.2,71.76,1.52
17,jamestown,20,US,1632798354,87,42.097,-79.2353,67.32,1.01
18,port blair,38,CD,1632798354,61,-7.0349,29.7638,74.97,1.9
19,carnarvon,58,AU,1632798236,33,-24.8667,113.6333,77.07,8.05
20,fukuma,96,JP,1632798154,74,33.7667,130.4667,88.09,3.4
21,bondo,98,CD,1632798355,99,3.8146,23.6866,67.41,0.58
22,chenzhou,86,CN,1632798355,58,25.8,113.0333,89.35,0.65
23,carahue,44,CL,1632798355,92,-38.7,-73.1667,39.4,1.9
24,port alfred,38,CD,1632798354,61,-7.0349,29.7638,74.97,1.9
25,hilo,75,US,1632798356,75,19.7297,-155.09,82.27,8.05
26,upernavik,30,GL,1632798356,56,72.7868,-56.1549,24.73,5.46
27,hermanus,42,ZA,1632798356,74,-34.4187,19.2345,54.9,5.5
28,lagoa,52,PT,1632798357,79,39.05,-27.9833,68.29,15.43
29,puerto ayora,0,ES,1632798357,91,36.5939,-6.233,64.54,3.44
30,huilong,18,CN,1632798357,73,31.8111,121.655,86.99,3.74
31,atar,0,MR,1632798358,12,20.5169,-13.0499,90.84,5.75
32,aswan,5,EG,1632798358,35,24.0934,32.907,75.7,10.96
33,havoysund,98,NO,1632798358,72,70.9963,24.6622,58.08,12.93
34,longyearbyen,75,SJ,1632798359,93,78.2186,15.6401,33.64,4.61
35,mataura,85,NZ,1632798359,48,-46.1927,168.8643,55.47,4.25
36,coquimbo,0,CL,1632798196,87,-29.9533,-71.3436,55.13,0.0
37,iqaluit,100,CA,1632798077,77,63.7506,-68.5145,31.69,8.01
38,cayenne,0,GF,1632798359,80,4.9333,-52.3333,83.08,1.99
39,port elizabeth,38,CD,1632798360,61,-7.0349,29.7638,74.97,1.9
40,isangel,35,VU,1632798360,60,-19.55,169.2667,77.23,10.38
41,constantine,98,DZ,1632798360,90,36.365,6.6147,64.69,2.13
42,thompson,31,CA,1632798263,72,55.7435,-97.8558,48.96,8.61
43,lata,98,PT,1632798361,94,40.1629,-8.3327,65.05,2.73
44,mayo,1,US,1632798361,69,38.8876,-76.5119,72.99,4.0
45,tuktoyaktuk,15,CA,1632798196,85,69.4541,-133.0374,26.58,8.77
46,anadyr,90,RU,1632798362,93,64.75,177.4833,34.3,6.71
47,tasiilaq,7,GL,1632798362,56,65.6145,-37.6368,35.76,6.62
48,tura,29,IN,1632798362,70,25.5198,90.2201,83.82,2.01
49,airai,27,TL,1632798363,29,-8.9266,125.4092,81.84,2.8
50,launceston,40,AU,1632798363,54,-41.45,147.1667,63.61,5.99
51,ebolowa,100,CM,1632798363,99,2.9,11.15,67.21,2.01
52,georgetown,20,MY,1632798312,76,5.4112,100.3354,86.9,11.5
53,eyl,86,SO,1632798137,66,7.9803,49.8164,80.15,12.97
54,belyy yar,100,RU,1632798364,94,55.8402,32.9419,45.52,5.79
55,lavrentiya,40,RU,1632798364,79,65.5833,-171.0,30.78,1.61
56,bayog,73,PH,1632798364,59,7.8667,123.0667,90.07,3.51
57,oranjestad,0,AW,1632798270,82,12.524,-70.027,83.91,7.0
58,busselton,100,AU,1632798365,64,-33.65,115.3333,63.09,8.1
59,touros,67,BR,1632798195,85,-5.1989,-35.4608,77.9,15.03
60,kabinda,82,CD,1632798365,93,-6.1333,24.4833,66.58,4.12
61,alofi,75,NU,1632798365,69,-19.0595,-169.9187,82.29,12.66
62,provideniya,75,RU,1632798366,64,64.3833,-173.3,33.91,6.71
63,esperance,94,AU,1632798366,76,-33.8667,121.9,58.21,15.3
64,saint-philippe,40,RE,1632798366,78,-21.3585,55.7679,69.35,14.03
65,qaanaaq,100,GL,1632798367,67,77.484,-69.3632,24.48,7.78
66,kasongo-lunda,98,CD,1632798367,94,-6.4667,16.8167,71.02,2.3
67,torbay,0,CA,1632798331,92,47.6666,-52.7314,56.57,7.0
68,harper,96,LR,1632798367,90,4.375,-7.7169,76.1,6.67
69,muros,100,ES,1632798367,91,42.7762,-9.0603,61.84,6.71
70,miri,27,MY,1632798368,67,4.4148,114.0089,86.02,3.94
71,fortuna,90,US,1632798368,98,40.5982,-124.1573,57.09,3.44
72,yeppoon,90,AU,1632798368,65,-23.1333,150.7333,74.98,15.08
73,ust-maya,100,RU,1632798369,92,60.4167,134.5333,40.33,7.34
74,buraydah,56,SA,1632798293,13,26.326,43.975,70.65,2.35
75,raduzhnyy,91,RU,1632798369,78,62.0961,77.475,36.1,9.17
76,arraial do cabo,0,BR,1632798369,72,-22.8362,-46.646,67.41,5.3
77,khatanga,99,RU,1632798369,63,71.9667,102.5,31.35,8.23
78,jiuquan,0,CN,1632798370,14,39.7432,98.5174,71.6,6.76
79,fairfield,1,US,1632798279,70,41.2668,-73.3162,72.16,10.36
80,majene,34,ID,1632798370,69,-3.5403,118.9707,84.63,8.88
81,nyurba,79,RU,1632798370,64,63.2842,118.3319,39.74,11.9
82,bonavista,17,CA,1632798371,85,48.6499,-53.1147,59.11,15.95
83,rundu,0,NA,1632798371,21,-17.9333,19.7667,64.22,3.06
84,matara,98,LK,1632798371,84,5.9485,80.5353,80.24,15.64
85,upata,36,VE,1632798371,90,8.0086,-62.3989,71.38,3.06
86,dryden,28,CA,1632798195,68,49.7833,-92.7503,50.65,4.99
87,castro,16,BR,1632798094,78,-24.7911,-50.0119,61.97,4.21
88,fairbanks,38,US,1632798305,79,64.8378,-147.7164,35.1,1.79
89,bambous virieux,36,MU,1632798372,71,-20.2567,57.4061,72.14,11.61
90,washington,100,US,1632798291,81,47.5001,-120.5015,56.84,2.01
91,makurdi,35,NG,1632798372,95,7.7411,8.5121,72.59,4.05
92,havelock,1,US,1632798373,78,34.8791,-76.9013,75.94,0.0
93,panjab,0,AF,1632798373,14,34.388,67.0233,56.35,1.14
94,avarua,75,CK,1632798373,78,-21.2078,-159.775,77.05,3.44
95,ardahan,3,TR,1632798373,89,41.1087,42.7022,37.47,2.37
96,kapaa,75,US,1632798374,74,22.0752,-159.319,79.12,5.99
97,bengkulu,41,ID,1632798374,73,-3.8004,102.2655,83.26,3.87
98,rosarito,38,MX,1632798374,78,32.3333,-117.0333,65.48,6.67
99,kodiak,100,US,1632798375,64,57.79,-152.4072,44.37,3.11
100,ixtapa,100,MX,1632798375,93,20.7,-105.2,76.53,2.46
101,bethel,1,US,1632798244,73,41.3712,-73.414,72.01,10.36
102,chalons-en-champagne,99,FR,1632798375,98,48.9539,4.3672,50.58,5.01
103,cacoal,14,BR,1632798375,70,-11.4386,-61.4472,77.04,7.45
104,mar del plata,75,ES,1632798376,95,43.4002,-4.0094,62.02,0.0
105,marystown,0,CA,1632798376,100,47.1666,-55.1483,54.86,1.99
106,hobart,75,AU,1632798376,54,-42.8794,147.3294,60.26,5.75
107,port hardy,38,CD,1632798360,61,-7.0349,29.7638,74.97,1.9
